cohort_month,week_number,active_users,cohort_users,retention_pct
2025-09,0,1609,1609,100.0
2025-09,1,1435,1609,89.2
2025-09,2,1303,1609,81.0
2025-09,3,1180,1609,73.3
2025-09,4,1061,1609,65.9
2025-09,5,966,1609,60.0
2025-09,6,890,1609,55.3
2025-09,7,820,1609,51.0
2025-09,8,761,1609,47.3
2025-09,9,714,1609,44.4
2025-09,10,647,1609,40.2
2025-09,11,586,1609,36.4
2025-09,12,546,1609,33.9
2025-10,0,1503,1503,100.0
2025-10,1,1366,1503,90.9
2025-10,2,1233,1503,82.0
2025-10,3,1115,1503,74.2
2025-10,4,1002,1503,66.7
2025-10,5,916,1503,60.9
2025-10,6,822,1503,54.7
2025-10,7,748,1503,49.8
2025-10,8,686,1503,45.6
2025-10,9,628,1503,41.8
2025-10,10,567,1503,37.7
2025-10,11,516,1503,34.3
2025-10,12,471,1503,31.3
2025-11,0,1533,1533,100.0
2025-11,1,1388,1533,90.5
2025-11,2,1261,1533,82.3
2025-11,3,1141,1533,74.4
2025-11,4,1033,1533,67.4
2025-11,5,950,1533,62.0
2025-11,6,855,1533,55.8
2025-11,7,783,1533,51.1
2025-11,8,716,1533,46.7
2025-11,9,663,1533,43.2
2025-11,10,620,1533,40.4
2025-11,11,581,1533,37.9
2025-11,12,536,1533,35.0
2025-12,0,1555,1555,100.0
2025-12,1,1424,1555,91.6
2025-12,2,1297,1555,83.4
2025-12,3,1146,1555,73.7
2025-12,4,1027,1555,66.0
2025-12,5,924,1555,59.4
2025-12,6,827,1555,53.2
2025-12,7,748,1555,48.1
2025-12,8,687,1555,44.2
2025-12,9,630,1555,40.5
2025-12,10,590,1555,37.9
2025-12,11,547,1555,35.2
2025-12,12,503,1555,32.3
