user_id,signup_date,acquisition_channel,device,segment,completed_course
1,2025-12-01,paid_ads,desktop,professional_upskill,0
2,2025-11-01,social_media,desktop,professional_upskill,0
3,2025-11-01,corporate,mobile,career_changer,0
4,2025-09-01,partner_referral,desktop,professional_upskill,1
5,2025-10-01,organic,mobile,professional_upskill,0
6,2025-11-01,organic,desktop,professional_upskill,1
7,2025-10-01,organic,desktop,professional_upskill,0
8,2025-10-01,social_media,mobile,career_changer,0
9,2025-11-01,partner_referral,desktop,career_changer,1
10,2025-12-01,corporate,desktop,student,1
11,2025-09-01,organic,desktop,student,0
12,2025-10-01,social_media,desktop,professional_upskill,1
13,2025-12-01,corporate,mobile,professional_upskill,1
14,2025-11-01,organic,desktop,professional_upskill,0
15,2025-10-01,organic,desktop,career_changer,0
16,2025-10-01,organic,desktop,student,0
17,2025-10-01,paid_ads,mobile,student,0
18,2025-12-01,paid_ads,desktop,career_changer,1
19,2025-12-01,paid_ads,mobile,career_changer,0
20,2025-12-01,organic,mobile,career_changer,0
21,2025-10-01,partner_referral,desktop,student,0
22,2025-10-01,organic,mobile,professional_upskill,0
23,2025-09-01,organic,desktop,career_changer,1
24,2025-09-01,paid_ads,desktop,professional_upskill,0
25,2025-12-01,paid_ads,desktop,career_changer,0
26,2025-12-01,corporate,mobile,student,1
27,2025-11-01,organic,mobile,professional_upskill,1
28,2025-12-01,paid_ads,desktop,professional_upskill,1
29,2025-09-01,partner_referral,desktop,career_changer,0
30,2025-09-01,organic,mobile,career_changer,0
31,2025-09-01,partner_referral,mobile,student,1
32,2025-10-01,organic,mobile,professional_upskill,1
33,2025-10-01,organic,desktop,professional_upskill,0
34,2025-12-01,social_media,mobile,student,1
35,2025-11-01,social_media,desktop,student,0
36,2025-11-01,corporate,desktop,professional_upskill,1
37,2025-11-01,paid_ads,mobile,student,0
38,2025-10-01,organic,tablet,professional_upskill,1
39,2025-09-01,partner_referral,desktop,career_changer,0
40,2025-09-01,paid_ads,desktop,career_changer,0
41,2025-10-01,organic,mobile,career_changer,0
42,2025-11-01,paid_ads,desktop,student,0
43,2025-11-01,organic,mobile,student,1
44,2025-12-01,social_media,mobile,professional_upskill,0
45,2025-12-01,organic,desktop,professional_upskill,0
46,2025-11-01,partner_referral,tablet,professional_upskill,1
47,2025-10-01,paid_ads,mobile,career_changer,0
48,2025-11-01,paid_ads,mobile,student,1
49,2025-12-01,paid_ads,mobile,student,0
50,2025-11-01,organic,mobile,professional_upskill,1
51,2025-10-01,social_media,desktop,career_changer,0
52,2025-09-01,corporate,desktop,student,1
